tag,threshold,balanced_accuracy,positive_rate
ensemble_avg_top3,0.20099999999999985,0.5251733205833135,0.9691176470588235
ensemble_avg_top3,0.20199999999999985,0.5251733205833135,0.9691176470588235
ensemble_avg_top3,0.20299999999999985,0.5273009801577815,0.9676470588235294
ensemble_avg_top3,0.20399999999999985,0.5273009801577815,0.9676470588235294
ensemble_avg_top3,0.20499999999999985,0.5315562993067177,0.9647058823529412
ensemble_avg_top3,0.20599999999999982,0.5304327038010996,0.9632352941176471
ensemble_avg_top3,0.20699999999999982,0.5281855127898638,0.9602941176470589
ensemble_avg_top3,0.20799999999999982,0.5281855127898638,0.9602941176470589
ensemble_avg_top3,0.20899999999999982,0.5303131723643318,0.9588235294117647
ensemble_avg_top3,0.20999999999999983,0.5324408319387999,0.9573529411764706
ensemble_avg_top3,0.21099999999999983,0.5324408319387999,0.9573529411764706
ensemble_avg_top3,0.21199999999999983,0.536696151087736,0.9544117647058824
ensemble_avg_top3,0.21299999999999983,0.536696151087736,0.9544117647058824
ensemble_avg_top3,0.21399999999999983,0.5377002151565862,0.9514705882352941
ensemble_avg_top3,0.21499999999999983,0.5365766196509681,0.95
ensemble_avg_top3,0.21599999999999983,0.5418360028687544,0.9441176470588235
ensemble_avg_top3,0.21699999999999983,0.5418360028687544,0.9441176470588235
ensemble_avg_top3,0.21799999999999983,0.5418360028687544,0.9441176470588235
ensemble_avg_top3,0.21899999999999983,0.5439636624432226,0.9426470588235294
ensemble_avg_top3,0.21999999999999983,0.5460913220176906,0.9411764705882353
ensemble_avg_top3,0.2209999999999998,0.5460913220176906,0.9411764705882353
ensemble_avg_top3,0.2219999999999998,0.5459717905809228,0.9367647058823529
ensemble_avg_top3,0.2229999999999998,0.552354769304327,0.9323529411764706
ensemble_avg_top3,0.2239999999999998,0.5554864929476453,0.9279411764705883
ensemble_avg_top3,0.2249999999999998,0.5576141525221133,0.9264705882352942
ensemble_avg_top3,0.2259999999999998,0.5574946210853454,0.9220588235294118
ensemble_avg_top3,0.2269999999999998,0.5563710255797274,0.9205882352941176
ensemble_avg_top3,0.22799999999999981,0.5563710255797274,0.9205882352941176
ensemble_avg_top3,0.22899999999999981,0.5552474300741095,0.9191176470588235
