blend_name,models,weights,method,oof_bal_acc,best_threshold,test_pos_rate,changed_vs_anchor,diff_pct_vs_anchor,file_path
wavg_ensemble_avg_top3_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_threshold_vote|logreg_full,0.15|0.30|0.55,weighted_avg,0.7848195075304805,0.6099999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_logreg_full,ensemble_avg_top3|ensemble_avg_top5|logreg_full,0.15|0.35|0.50,weighted_avg,0.7846999760937127,0.6289999999999994,0.3409090909090909,0,0.0,
wavg_ensemble_stacking_lr_ensemble_threshold_vote_logreg_full,ensemble_stacking_lr|ensemble_threshold_vote|logreg_full,0.15|0.30|0.55,weighted_avg,0.7846999760937127,0.6149999999999994,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_threshold_vote|logreg_full,0.25|0.25|0.50,weighted_avg,0.7846999760937127,0.6149999999999994,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_logreg_full,ensemble_avg_top3|ensemble_avg_top5|logreg_full,0.20|0.30|0.50,weighted_avg,0.7846999760937127,0.6289999999999994,0.3409090909090909,0,0.0,
wavg_ensemble_avg_top3_ensemble_avg_top5_logreg_full,ensemble_avg_top3|ensemble_avg_top5|logreg_full,0.10|0.40|0.50,weighted_avg,0.7846999760937127,0.6299999999999994,0.3409090909090909,0,0.0,
wavg_ensemble_avg_top3_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_threshold_vote|logreg_full,0.05|0.35|0.60,weighted_avg,0.7846999760937127,0.6229999999999994,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_stacking_lr_ensemble_avg_top5_logreg_full,ensemble_stacking_lr|ensemble_avg_top5|logreg_full,0.15|0.30|0.55,weighted_avg,0.7846999760937127,0.6299999999999994,0.3409090909090909,0,0.0,
wavg_ensemble_stacking_lr_ensemble_avg_top5_logreg_full,ensemble_stacking_lr|ensemble_avg_top5|logreg_full,0.15|0.35|0.50,weighted_avg,0.7846999760937127,0.6239999999999994,0.3409090909090909,0,0.0,
wavg_ensemble_stacking_lr_ensemble_threshold_vote_logreg_full,ensemble_stacking_lr|ensemble_threshold_vote|logreg_full,0.05|0.30|0.65,weighted_avg,0.7846999760937127,0.6309999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_threshold_vote|logreg_full,0.00|0.30|0.70,weighted_avg,0.7845804446569449,0.6529999999999995,0.3409090909090909,0,0.0,
wavg_ensemble_threshold_vote_logreg_full,ensemble_threshold_vote|logreg_full,0.30|0.70,weighted_avg,0.7845804446569449,0.6529999999999995,0.3409090909090909,0,0.0,
wavg_ensemble_avg_top3_ensemble_stacking_lr_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_stacking_lr|ensemble_threshold_vote|logreg_full,0.20|0.30|0.30|0.20,weighted_avg,0.7845804446569449,0.6239999999999994,0.3409090909090909,0,0.0,
wavg_ensemble_stacking_lr_ensemble_threshold_vote_logreg_full,ensemble_stacking_lr|ensemble_threshold_vote|logreg_full,0.00|0.30|0.70,weighted_avg,0.7845804446569449,0.6529999999999995,0.3409090909090909,0,0.0,
wavg_ensemble_avg_top3_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.10|0.40|0.20|0.30,weighted_avg,0.7845804446569449,0.5989999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.20|0.30|0.20|0.30,weighted_avg,0.7845804446569449,0.6009999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.30|0.20|0.20|0.30,weighted_avg,0.7845804446569449,0.6029999999999995,0.36363636363636365,1,0.022727272727272728,
